Order/Family	Genus/Species	Common Name	Wild	Capt.	M/F	Reference
 	Ursus arctos	Grizzly bear	25.0	50.0	x	[46] [58] [91] [145] [221] [237] [293] [304]
 	Ursus arctos	Grizzly bear	30.0	47.0	x	[192]
 	Ursus malayanus	Malayan sun bear	 	24.8	x	[143]
 	Ursus (= Thalarctos) maritimus	Polar bear (+)	30.0	38.2	x	[51] [169] [253] [300] [316]
 	Ursus (= Thalarctos) maritimus	Polar bear	25.0	 	x	[192]
 	Ursus (= Selenarctos) thibetanus	Asiatic black bear	 	33.0	x	[176]
 	Ursus (= Melursus) ursinus	Sloth bear	 	40.0	x	[171] [229] [307]
 	Ursus ursus arctos	European brown bear	47.0	 	x	[21]
Viverridae	Arctictis binturong	Binturong	18.0	 	x	[100]
 	Arctictis binturong	Binturong	 	22.7	x	[143]
 	Arctogalidia trivirgata	Small-toothed palm civet	 	15.8	x	[143]
 	Arctogalidia trivirgata	Small-toothed palm civet	12.0	 	x	[100]
 	Atilax paludinosus	Marsh mongoose	 	17.4	x	[143]
 	Atilax paludinosus	Marsh mongoose (+)	 	17.0	x	[100]
 	Bdeogale nigripes	Black-legged mongoose (+)	 	15.0	x	[100]
 	Bdeogale nigripes	Black-legged mongoose	 	15.8	x	[143]
 	Civettictis civetta	African civet	 	28.0	x	[143]
 	Civettictis civetta	African civet (+)	15.0	 	x	[100]
 	Crossarchus obscurus	Dark mongoose	 	4.5	x	[100]
 	Crossarchus spp.	Cusimanse	 	9.0	x	[93]
 	Cryptoprocta ferox	Fossa (+)	 	20.0	x	[2] [3] [164] [229]
 	Cynogale bennettii	Otter civet (+)	 	5.0	x	[100]
 	Cynogale bennettii	Otter civet	 	5.0	x	[143]
 	Cynictis penicillata	Yellow mongoose (+)	 	15.0	x	[100]
 	Cynictis penicillata	Yellow mongoose	 	15.2	x	[143]
 	Fossa fossa	Malagasy civet	 	11.0	x	[143]
 	Fossa fossa	Malagasy civet	 	11.0	x	[100]
 	Galidia elegans	Malagasy ring-tailed mongoose (+)	 	13.0	x	[100]
 	Galidia elegans	Malagasy ring-tailed mongoose	 	13.2	x	[143]
 	Genetta genetta	European genet	 	34.0	x	[192]
 	Genetta genetta	European genet (+)	 	14.0	x	[100]
 	Genetta genetta	European genet	 	21.6	x	[143]
 	Genetta genetta	European genet	 	13.0	f	[159] [268] [330]
 	Genetta tigrina	Large-spotted genet	 	9.5	x	[100]
 	Helogale parvula	Dwarf mongoose	 	10.0	x	[100]
 	Hemigalus derbyanus	Banded palm civet (+)	 	12.0	x	[100] [143]
 	Herpestes ichneumon	Mongoose	12.0	 	x	[100]
 	Herpestes ichneumon	Mongoose (+)	 	20.0	x	[67] [100] [159] [176] [263]
